    time    temp    dens
   7.86436642328121E-01   7.52343239094522E-02   1.63293378978690E+00
     nin     zin       y       x
 45   20     1.00000000000000E-99   1.00000000000000E-99
 46   20     1.00000000000000E-99   1.00000000000000E-99
 47   20     1.00000000000000E-99   1.00000000000000E-99
 48   20     1.00000000000000E-99   1.00000000000000E-99
 49   20     1.00000000000000E-99   1.00000000000000E-99
 50   20     1.00000000000000E-99   1.00000000000000E-99
 51   20     1.00000000000000E-99   1.00000000000000E-99
 52   20     1.00000000000000E-99   1.00000000000000E-99
 53   20     1.00000000000000E-99   1.00000000000000E-99
 11   21     1.00000000000000E-99   1.00000000000000E-99
 12   21     2.24952102915266E-46   7.42341939620376E-45
 13   21     5.87011873796254E-43   1.99584037090726E-41
 14   21     1.43799296549889E-36   5.03297537924611E-35
 15   21     1.99939895913605E-30   7.19783625288977E-29
 16   21     1.10577588960104E-25   4.09137079152383E-24
 17   21     3.32361617130598E-23   1.26297414509627E-21
 18   21     7.30359205761823E-21   2.84840090247111E-19
 19   21     9.92200727953238E-13   3.96880291181295E-11
 20   21     8.60075896228093E-09   3.52631117453518E-07
 21   21     2.20216332571059E-08   9.24908596798449E-07
 22   21     5.15421026739601E-07   2.21631041498028E-05
 23   21     2.72181323847132E-08   1.19759782492738E-06
 24   21     2.33681852524141E-06   1.05156833635863E-04
 25   21     2.03237823153476E-16   9.34893986505988E-15
 26   21     3.10119785770263E-09   1.45756299312023E-07
 27   21     1.03598384525393E-11   4.97272245721887E-10
 28   21     6.97454728750817E-13   3.41752817087900E-11
 29   21     6.37560243945444E-15   3.18780121972722E-13
 30   21     1.07937549468562E-16   5.50481502289666E-15
 31   21     1.54510228656881E-18   8.03453189015780E-17
 32   21     1.36635498853123E-20   7.24168143921550E-19
 33   21     5.00417029583383E-23   2.70225195975027E-21
 34   21     8.78575615189861E-26   4.83216588354423E-24
 35   21     1.16393254044018E-29   6.51802222646499E-28
 36   21     2.98486869635128E-32   1.70137515692023E-30
 37   21     4.68032581678836E-36   2.71458897373725E-34
 38   21     1.71069951768535E-41   1.00931271543436E-39
 39   21     9.50795796354826E-49   5.70477477812896E-47
 40   21     6.32634526282051E-55   3.85907061032051E-53
 41   21     2.96135467540991E-65   1.83603989875415E-63
 42   21     8.21901540367296E-72   5.17797970431397E-70
 43   21     1.20133203875879E-80   7.68852504805626E-79
 44   21     5.89926304557797E-88   3.83452097962568E-86
 45   21     1.84768875536479E-98   1.21947457854076E-96
 46   21     1.00000000000000E-99   1.00000000000000E-99
 47   21     1.00000000000000E-99   1.00000000000000E-99
 48   21     1.00000000000000E-99   1.00000000000000E-99
 49   21     1.00000000000000E-99   1.00000000000000E-99
 50   21     1.00000000000000E-99   1.00000000000000E-99
 51   21     1.00000000000000E-99   1.00000000000000E-99
 52   21     1.00000000000000E-99   1.00000000000000E-99
 53   21     1.00000000000000E-99   1.00000000000000E-99
 54   21     1.00000000000000E-99   1.00000000000000E-99
 55   21     1.00000000000000E-99   1.00000000000000E-99
 12   22     1.00000000000000E-99   1.00000000000000E-99
 13   22     1.00000000000000E-99   1.00000000000000E-99
 14   22     2.17985249222769E-40   7.84746897201967E-39
 15   22     1.00639134663170E-34   3.72364798253728E-33
 16   22     3.53215416732347E-22   1.34221858358292E-20
 17   22     4.66814425350868E-21   1.82057625886838E-19
 18   22     1.81999947611929E-16   7.27999790447715E-15
 19   22     3.19481747096525E-15   1.30987516309575E-13
