    time    temp    dens
   9.96826643036671E-01   5.90636120690575E-02   8.01864312060387E-01
     nin     zin       y       x
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     6.98631944369118E-39   1.81644305535971E-37
 10   17     2.77912278639496E-32   7.50363152326640E-31
 11   17     8.57718572113137E-27   2.40161200191678E-25
 12   17     6.35722251681292E-24   1.84359452987575E-22
 13   17     3.02833905949703E-22   9.08501717849108E-21
 14   17     2.41546301436630E-13   7.48793534453554E-12
 15   17     5.32277926188206E-10   1.70328936380226E-08
 16   17     3.00885085021680E-08   9.92920780571545E-07
 17   17     7.00607695289103E-08   2.38206616398295E-06
 18   17     1.63481248562300E-06   5.72184369968050E-05
 19   17     1.05833109874062E-09   3.80999195546624E-08
 20   17     5.03735225415854E-07   1.86382033403866E-05
 21   17     1.21735447767883E-09   4.62594701517956E-08
 22   17     1.10954589713142E-11   4.32722899881252E-10
 23   17     1.53475421737837E-13   6.13901686951348E-12
 24   17     2.96834574482453E-14   1.21702175537806E-12
 25   17     5.66938835933935E-16   2.38114311092253E-14
 26   17     9.37626718914245E-18   4.03179489133125E-16
 27   17     1.61317729199161E-20   7.09798008476306E-19
 28   17     7.47061639633671E-22   3.36177737835152E-20
 29   17     1.36976114303504E-25   6.30090125796118E-24
 30   17     1.58053694854569E-28   7.42852365816476E-27
 31   17     4.13191022159360E-32   1.98331690636493E-30
 32   17     1.00710135300540E-35   4.93479662972647E-34
 33   17     1.76350900268006E-40   8.81754501340031E-39
 34   17     2.16915144742189E-44   1.10626723818516E-42
 35   17     1.61317354843583E-54   8.38850245186633E-53
 36   17     2.33007293444078E-63   1.23493865525362E-61
 37   17     1.23950199517239E-78   6.69331077393088E-77
 38   17     2.48522438203629E-86   1.36687341011996E-84
 39   17     5.92295495564330E-77   3.31685477516025E-75
 40   17     2.16969035451555E-89   1.23672350207386E-87
 41   17     1.00000000000000E-99   1.00000000000000E-99
 42   17     1.00000000000000E-99   1.00000000000000E-99
 43   17     1.00000000000000E-99   1.00000000000000E-99
 44   17     1.00000000000000E-99   1.00000000000000E-99
 45   17     1.00000000000000E-99   1.00000000000000E-99
 46   17     1.00000000000000E-99   1.00000000000000E-99
  9   18     1.00000000000000E-99   1.00000000000000E-99
 10   18     1.90508902358933E-33   5.33424926605013E-32
 11   18     2.29035175505912E-27   6.64202008967145E-26
 12   18     1.85526945101448E-21   5.56580835304345E-20
 13   18     7.76550948932928E-21   2.40730794169208E-19
 14   18     7.55928265219106E-17   2.41897044870114E-15
 15   18     6.74292082170694E-12   2.22516387116329E-10
 16   18     9.40060979506548E-09   3.19620733032226E-07
 17   18     5.61872368616957E-09   1.96655329015935E-07
 18   18     1.56603091503836E-06   5.63771129413811E-05
 19   18     7.65362427895222E-07   2.83184098321232E-05
 20   18     1.49323207429448E-06   5.67428188231903E-05
 21   18     6.24886853079510E-09   2.43705872701009E-07
 22   18     5.54978444466848E-10   2.21991377786739E-08
 23   18     5.09006180756743E-12   2.08692534110265E-10
 24   18     9.69169329177542E-13   4.07051118254567E-11
 25   18     2.88774199965826E-14   1.24172905985305E-12
 26   18     1.06913541431168E-14   4.70419582297139E-13
 27   18     1.37459349679380E-16   6.18567073557210E-15
 28   18     8.88313441453757E-19   4.08624183068728E-17
 29   18     4.12531130077159E-22   1.93889631136265E-20
 30   18     8.52332233322399E-24   4.09119471994752E-22
 31   18     2.50206349473036E-27   1.22601111241787E-25
 32   18     8.27568908349728E-30   4.13784454174864E-28
 33   18     2.77070915594816E-34   1.41306166953356E-32
 34   18     9.09085869611450E-38   4.72724652197954E-36
 35   18     5.59435410308915E-43   2.96500767463725E-41
 36   18     2.03104546450739E-48   1.09676455083399E-46
 37   18     9.13263701290027E-60   5.02295035709515E-58
 38   18     1.18245226075156E-67   6.62173266020873E-66
 39   18     3.41171604722433E-76   1.94467814691787E-74
 40   18     3.05508207502846E-86   1.77194760351651E-84
 41   18     1.00000000000000E-99   1.00000000000000E-99
 42   18     1.00000000000000E-99   1.00000000000000E-99
 43   18     1.00000000000000E-99   1.00000000000000E-99
 44   18     1.00000000000000E-99   1.00000000000000E-99
 45   18     1.00000000000000E-99   1.00000000000000E-99
 46   18     1.00000000000000E-99   1.00000000000000E-99
 47   18     1.00000000000000E-99   1.00000000000000E-99
 48   18     1.00000000000000E-99   1.00000000000000E-99
 49   18     1.00000000000000E-99   1.00000000000000E-99
 10   19     1.00000000000000E-99   1.00000000000000E-99
 11   19     4.21801944252749E-44   1.26540583275825E-42
 12   19     8.62257338107739E-35   2.67299774813399E-33
 13   19     1.41194627196352E-28   4.51822807028327E-27
 14   19     1.02827343596289E-24   3.39330233867755E-23
 15   19     7.50456578918502E-23   2.55155236832291E-21
 16   19     2.16468336920256E-15   7.57639179220895E-14
 17   19     4.60955371990053E-11   1.65943933916419E-09
 18   19     2.39223521953764E-08   8.85127031228926E-07
 19   19     2.95888309927333E-08   1.12437557772387E-06
 20   19     2.85762806755164E-06   1.11447494634514E-04
 21   19     5.93685624415694E-08   2.37474249766278E-06
 22   19     1.00725856055672E-08   4.12976009828255E-07
 23   19     2.76815411488368E-10   1.16262472825115E-08
 24   19     2.72911190972601E-11   1.17351812118218E-09
 25   19     1.76864121056269E-12   7.78202132647585E-11
 26   19     3.05511689997653E-13   1.37480260498944E-11
 27   19     8.51428572801851E-15   3.91657143488852E-13
 28   19     2.37585803043759E-16   1.11665327430567E-14
 29   19     7.36896194960469E-18   3.53710173581025E-16
 30   19     1.91643813858783E-20   9.39054687908037E-19
 31   19     1.54590028273803E-23   7.72950141369017E-22
 32   19     3.26258541723040E-26   1.66391856278750E-24
 33   19     2.40063007990535E-30   1.24832764155078E-28
 34   19     1.60410800774036E-34   8.50177244102393E-33
 35   19     1.18756514347331E-39   6.41285177475585E-38
 36   19     2.96617584048258E-44   1.63139671226542E-42
 37   19     3.58435032493590E-52   2.00723618196410E-50
 38   19     7.42390108973978E-59   4.23162362115167E-57
 39   19     4.75884269240568E-69   2.76012876159530E-67
 40   19     1.60821777004234E-76   9.48848484324980E-75
 41   19     1.59372830998829E-90   9.56236985992976E-89
 42   19     6.10302347518964E-98   3.72284431986568E-96
 43   19     1.00000000000000E-99   1.00000000000000E-99
 44   19     1.00000000000000E-99   1.00000000000000E-99
 45   19     1.00000000000000E-99   1.00000000000000E-99
 46   19     1.00000000000000E-99   1.00000000000000E-99
 47   19     1.00000000000000E-99   1.00000000000000E-99
 48   19     1.00000000000000E-99   1.00000000000000E-99
 49   19     1.00000000000000E-99   1.00000000000000E-99
 50   19     1.00000000000000E-99   1.00000000000000E-99
 51   19     1.00000000000000E-99   1.00000000000000E-99
 10   20     1.00000000000000E-99   1.00000000000000E-99
 11   20     1.00000000000000E-99   1.00000000000000E-99
 12   20     2.41047884925205E-36   7.71353231760655E-35
 13   20     9.15379566775964E-33   3.02075257036068E-31
 14   20     2.11757163473267E-23   7.19974355809109E-22
 15   20     6.83548698731949E-22   2.39242044556182E-20
 16   20     4.21428072951103E-16   1.51714106262397E-14
 17   20     8.08220013594436E-14   2.99041405029941E-12
 18   20     4.98604875803742E-10   1.89469852805422E-08
 19   20     1.21232841510484E-09   4.72808081890887E-08
 20   20     1.03152398324938E-05   4.12609593299753E-04
 21   20     3.94869488322715E-07   1.61896490212313E-05
 22   20     2.43376985669053E-07   1.02218333981002E-05
 23   20     3.22162492854502E-07   1.38529871927436E-05
 24   20     1.64416619050166E-07   7.23433123820732E-06
 25   20     2.90771893848608E-07   1.30847352231874E-05
 26   20     4.40969655951765E-08   2.02846041737812E-06
 27   20     6.29773116753518E-12   2.95993364874154E-10
 28   20     5.26754493439590E-11   2.52842156851003E-09
 29   20     1.09550585080754E-14   5.36797866895693E-13
 30   20     2.11029056532315E-17   1.05514528266157E-15
 31   20     2.82402439879272E-20   1.44025244338429E-18
 32   20     4.99849973100968E-23   2.59921986012504E-21
 33   20     6.02929787186536E-27   3.19552787208864E-25
 34   20     7.77551425986846E-29   4.19877770032897E-27
 35   20     1.22064803431238E-32   6.71356418871811E-31
 36   20     1.60762213968083E-35   9.00268398221264E-34
 37   20     4.81819334982057E-42   2.74637020939772E-40
 38   20     1.94864142480741E-48   1.13021202638830E-46
 39   20     6.00055102518407E-58   3.54032510485860E-56
 40   20     2.42689608635047E-65   1.45613765181028E-63
 41   20     5.31691266149875E-77   3.24331672351423E-75
 42   20     1.77486076191199E-86   1.10041367238543E-84
 43   20     1.00000000000000E-99   1.00000000000000E-99
 44   20     1.00000000000000E-99   1.00000000000000E-99
 45   20     1.00000000000000E-99   1.00000000000000E-99
 46   20     1.00000000000000E-99   1.00000000000000E-99
 47   20     1.00000000000000E-99   1.00000000000000E-99
 48   20     1.00000000000000E-99   1.00000000000000E-99
 49   20     1.00000000000000E-99   1.00000000000000E-99
 50   20     1.00000000000000E-99   1.00000000000000E-99
 51   20     1.00000000000000E-99   1.00000000000000E-99
 52   20     1.00000000000000E-99   1.00000000000000E-99
 53   20     1.00000000000000E-99   1.00000000000000E-99
 11   21     1.00000000000000E-99   1.00000000000000E-99
 12   21     4.56860827729636E-51   1.50764073150780E-49
 13   21     6.53327387951855E-47   2.22131311903631E-45
 14   21     7.50734303946082E-37   2.62757006381129E-35
 15   21     1.84560423631264E-32   6.64417525072552E-31
 16   21     3.32223854497708E-28   1.22922826164152E-26
 17   21     2.69316445249000E-26   1.02340249194620E-24
 18   21     6.92447258382117E-22   2.70054430769026E-20
 19   21     6.51217315525763E-15   2.60486926210305E-13
 20   21     1.88153271613744E-11   7.71428413616352E-10
 21   21     5.51785499104291E-12   2.31749909623802E-10
 22   21     1.29774183276212E-08   5.58028988087713E-07
 23   21     2.38288964463647E-09   1.04847144364005E-07
 24   21     1.33077495723222E-07   5.98848730754498E-06
 25   21     7.00950022567208E-11   3.22437010380916E-09
 26   21     3.27177311314090E-09   1.53773336317622E-07
 27   21     2.55141731539648E-11   1.22468031139031E-09
 28   21     1.51244331816127E-12   7.41097225899022E-11
 29   21     3.22982471770036E-14   1.61491235885018E-12
 30   21     7.36266184765842E-16   3.75495754230579E-14
 31   21     8.15847806794827E-18   4.24240859533310E-16
 32   21     3.19358326413268E-20   1.69259912999032E-18
 33   21     2.94390668397349E-23   1.58970960934569E-21
 34   21     2.86207969535942E-26   1.57414383244768E-24
 35   21     4.34812613510403E-30   2.43495063565826E-28
 36   21     1.41392201661088E-32   8.05935549468200E-31
 37   21     4.12775811039569E-36   2.39409970402950E-34
 38   21     3.65334698746340E-41   2.15547472260341E-39
 39   21     2.37607805081557E-48   1.42564683048934E-46
 40   21     1.74374606268267E-54   1.06368509823643E-52
 41   21     9.27526944605224E-65   5.75066705655239E-63
