    time    temp    dens
   9.57145088744815E-01   6.13589965206727E-02   9.05787808620384E-01
     nin     zin       y       x
 25   19     8.77139480060097E-13   3.85941371226443E-11
 26   19     5.62696127719319E-14   2.53213257473693E-12
 27   19     8.66407622756254E-15   3.98547506467877E-13
 28   19     3.33845892559246E-16   1.56907569502846E-14
 29   19     5.46199048316482E-17   2.62175543191911E-15
 30   19     1.05916314298004E-19   5.18989940060220E-18
 31   19     3.69849120107097E-22   1.84924560053549E-20
 32   19     3.36836062276199E-25   1.71786391760862E-23
 33   19     3.93536042009978E-28   2.04638741845189E-26
 34   19     2.75538595372966E-32   1.46035455547672E-30
 35   19     6.36097035754107E-36   3.43492399307218E-34
 36   19     9.22888019254453E-41   5.07588410589949E-39
 37   19     1.53860425332214E-43   8.61618381860396E-42
 38   19     1.37848281674495E-42   7.85735205544620E-41
 39   19     6.29077938815710E-49   3.64865204513112E-47
 40   19     1.80482434502629E-53   1.06484636356551E-51
 41   19     4.38103055923928E-55   2.62861833554357E-53
 42   19     1.19707344967707E-60   7.30214804303010E-59
 43   19     1.68140346056539E-64   1.04247014555054E-62
 44   19     1.86068066096241E-66   1.17222881640632E-64
 45   19     5.66032141758792E-71   3.62260570725627E-69
 46   19     5.83255595840453E-74   3.79116137296294E-72
 47   19     1.81787779378259E-77   1.19979934389651E-75
 48   19     9.04245910967452E-80   6.05844760348193E-78
 49   19     2.69752185607919E-85   1.83431486213385E-83
 50   19     2.87938086878567E-86   1.98677279946211E-84
 51   19     1.00333639833280E-90   7.02335478832961E-89
 10   20     2.22851488994521E-42   6.68554466983562E-41
 11   20     2.00975196419235E-42   6.23023108899628E-41
 12   20     3.03352642849428E-32   9.70728457118168E-31
 13   20     9.74711726585400E-29   3.21654869773182E-27
 14   20     1.70578890303746E-22   5.79968227032737E-21
 15   20     2.19987885137860E-20   7.69957597982511E-19
 16   20     2.32190215757829E-16   8.35884776728186E-15
 17   20     4.11620887523748E-12   1.52299728383787E-10
 18   20     6.07543126193334E-09   2.30866387953467E-07
 19   20     1.35369488777222E-08   5.27941006231166E-07
 20   20     1.21351051232608E-06   4.85404204930434E-05
 21   20     6.63018021038588E-08   2.71837388625821E-06
 22   20     4.76316458654530E-08   2.00052912634903E-06
 23   20     5.19717220878489E-08   2.23478404977750E-06
 24   20     1.26997933371555E-08   5.58790906834841E-07
 25   20     4.43593331048783E-08   1.99616998971952E-06
 26   20     2.55579101768619E-09   1.17566386813565E-07
 27   20     2.52984750156467E-13   1.18902832573539E-11
 28   20     3.64387351377363E-12   1.74905928661134E-10
 29   20     1.01429123958452E-15   4.97002707396416E-14
 30   20     8.06212611733224E-18   4.03106305866612E-16
 31   20     3.42188624898142E-20   1.74516198698052E-18
 32   20     1.27383959262913E-21   6.62396588167150E-20
 33   20     1.13482361423896E-25   6.01456515546649E-24
 34   20     3.63507417755116E-28   1.96294005587762E-26
 35   20     2.69707099326802E-32   1.48338904629741E-30
 36   20     2.45878491982658E-35   1.37691955510288E-33
 37   20     2.82953112834475E-34   1.61283274315651E-32
 38   20     2.80216297380374E-40   1.62525452480617E-38
 39   20     6.41818698964859E-45   3.78673032389267E-43
 40   20     4.01793245951859E-46   2.41075947571115E-44
 41   20     1.11492855172491E-51   6.80106416552197E-50
 42   20     2.28156048065531E-54   1.41456749800629E-52
