    time    temp    dens
   3.14950998278831E-01   2.05964652174810E-01   3.28817108681340E+01
     nin     zin       y       x
 42   16     7.85903452496837E-68   4.55824002448165E-66
 43   16     3.14760326941372E-74   1.85708592895410E-72
 44   16     6.63699353071589E-75   3.98219611842953E-73
  9   17     6.30362620098370E-27   1.63894281225576E-25
 10   17     4.66883390266497E-26   1.26058515371954E-24
 11   17     1.08284432254994E-23   3.03196410313983E-22
 12   17     3.97637651969594E-19   1.15314919071182E-17
 13   17     1.16286554224429E-19   3.48859662673286E-18
 14   17     3.69811064362568E-11   1.14641429952396E-09
 15   17     9.72986353306030E-09   3.11355633057930E-07
 16   17     7.33231667272865E-08   2.41966450200045E-06
 17   17     1.41905743316581E-07   4.82479527276375E-06
 18   17     3.29726215986395E-07   1.15404175595238E-05
 19   17     1.18101311208453E-09   4.25164720350432E-08
 20   17     2.83151374906810E-08   1.04766008715520E-06
 21   17     2.39051658734684E-11   9.08396303191798E-10
 22   17     1.20584125642043E-13   4.70278090003969E-12
 23   17     1.29528378417266E-14   5.18113513669065E-13
 24   17     1.86734169527221E-15   7.65610095061604E-14
 25   17     4.49036857305642E-16   1.88595480068370E-14
 26   17     4.69507142323401E-17   2.01888071199062E-15
 27   17     9.47418412758650E-18   4.16864101613806E-16
 28   17     4.80005694892238E-20   2.16002562701507E-18
 29   17     5.12337159732005E-23   2.35675093476722E-21
 30   17     1.57132522791623E-25   7.38522857120629E-24
 31   17     5.03487172765352E-28   2.41673842927369E-26
 32   17     9.87075172437132E-31   4.83666834494195E-29
 33   17     3.06425211332144E-34   1.53212605666072E-32
 34   17     1.45462271415036E-37   7.41857584216682E-36
 35   17     1.14839484887941E-45   5.97165321417294E-44
 36   17     3.61700052724934E-45   1.91701027944215E-43
 37   17     2.02745587626534E-51   1.09482617318328E-49
 38   17     7.66471989310259E-51   4.21559594120642E-49
 39   17     4.11697704428159E-56   2.30550714479769E-54
 40   17     3.50250137663759E-58   1.99642578468342E-56
 41   17     5.23052357290788E-60   3.03370367228657E-58
 42   17     5.76716643428810E-66   3.40262819622998E-64
 43   17     2.24477178365801E-66   1.34686307019481E-64
 44   17     4.79464058908963E-72   2.92473075934468E-70
 45   17     8.27577481214393E-75   5.13098038352924E-73
 46   17     3.78719059895046E-76   2.38593007733879E-74
  9   18     1.35339867861949E-33   3.65417643227262E-32
 10   18     6.32991437660967E-26   1.77237602545071E-24
 11   18     2.99846212569198E-23   8.69554016450675E-22
 12   18     1.94869270165829E-19   5.84607810497488E-18
 13   18     1.63968404944893E-16   5.08302055329167E-15
 14   18     5.29057144185586E-13   1.69298286139387E-11
 15   18     6.45898826024630E-09   2.13146612588128E-07
 16   18     8.90685944684788E-08   3.02833221192828E-06
 17   18     7.66740069909541E-08   2.68359024468339E-06
 18   18     1.88314795630219E-07   6.77933264268789E-06
 19   18     2.66748676585517E-07   9.86970103366413E-06
 20   18     1.95685413244078E-07   7.43604570327496E-06
 21   18     2.39874583588835E-10   9.35510875996456E-09
 22   18     1.16193814056277E-11   4.64775256225109E-10
 23   18     4.46137339477000E-13   1.82916309185570E-11
 24   18     5.76308122555820E-14   2.42049411473445E-12
 25   18     8.07349769627665E-15   3.47160400939896E-13
 26   18     3.24105126910209E-15   1.42606255840492E-13
 27   18     1.60022635252768E-16   7.20101858637458E-15
 28   18     3.21938984439460E-18   1.48091932842151E-16
 29   18     1.97691850289915E-20   9.29151696362600E-19
 30   18     3.47236640163820E-22   1.66673587278633E-20
 31   18     4.43124988422945E-25   2.17131244327243E-23
 32   18     1.96455246236574E-27   9.82276231182871E-26
 33   18     6.27090846136906E-31   3.19816331529822E-29
 34   18     1.67946055885782E-33   8.73319490606064E-32
 35   18     6.63824405506294E-38   3.51826934918336E-36
 36   18     1.64112962939026E-39   8.86209999870740E-38
 37   18     2.90338522884080E-43   1.59686187586244E-41
 38   18     1.71311791679170E-45   9.59346033403354E-44
 39   18     2.36454848277624E-50   1.34779263518246E-48
 40   18     2.64190228083571E-52   1.53230332288471E-50
 41   18     2.57921008444611E-58   1.52173394982320E-56
 42   18     1.55089935276812E-58   9.30539611660871E-57
 43   18     2.79406110050455E-64   1.70437727130777E-62
 44   18     8.36098294049801E-67   5.18380942310877E-65
 45   18     4.14695809578447E-68   2.61258360034422E-66
 46   18     6.41832509095418E-68   4.10772805821067E-66
 47   18     2.19104483386646E-75   1.42417914201320E-73
 48   18     3.63090465043074E-75   2.39639706928429E-73
 49   18     1.82460534824117E-80   1.22248558332159E-78
 10   19     1.69882257181945E-30   4.92658545827640E-29
 11   19     2.62889010077946E-31   7.88667030233839E-30
 12   19     7.96373881195687E-28   2.46875903170663E-26
 13   19     4.08106585713295E-24   1.30594107428254E-22
 14   19     1.65968223795766E-20   5.47695138526027E-19
 15   19     2.33873997827035E-19   7.95171592611920E-18
 16   19     1.90585413935478E-12   6.67048948774175E-11
 17   19     2.40172778311495E-09   8.64622001921381E-08
 18   19     9.38564726316080E-08   3.47268948736950E-06
 19   19     1.08571964464532E-07   4.12573464965222E-06
 20   19     4.96155161873999E-07   1.93500513130860E-05
 21   19     3.46028471669624E-09   1.38411388667850E-07
 22   19     4.10792363659519E-10   1.68424869100403E-08
 23   19     1.20248320950650E-11   5.05042947992729E-10
 24   19     2.83089848021239E-12   1.21728634649133E-10
 25   19     6.41522885387402E-13   2.82270069570457E-11
 26   19     3.11195726252744E-14   1.40038076813735E-12
 27   19     5.44100198770872E-15   2.50286091434601E-13
 28   19     2.52163452534789E-16   1.18516822691351E-14
 29   19     3.76520350625667E-17   1.80729768300320E-15
 30   19     6.58683146289344E-20   3.22754741681779E-18
 31   19     5.47272089528620E-22   2.73636044764310E-20
 32   19     6.18122045363656E-25   3.15242243135465E-23
 33   19     3.19237150172706E-27   1.66003318089807E-25
 34   19     3.20712664201903E-30   1.69977712027008E-28
 35   19     3.24136260206023E-33   1.75033580511253E-31
 36   19     4.74561815376523E-37   2.61008998457088E-35
 37   19     1.11723353955844E-39   6.25650782152725E-38
 38   19     3.61058265468866E-39   2.05803211317254E-37
 39   19     3.67172271410918E-45   2.12959917418332E-43
 40   19     4.34809890758378E-47   2.56537835547443E-45
 41   19     3.10211200583045E-51   1.86126720349827E-49
 42   19     1.18640941531870E-52   7.23709743344407E-51
 43   19     1.93651002319369E-59   1.20063621438009E-57
 44   19     6.80699400613158E-61   4.28840622386290E-59
 45   19     1.58469769011859E-60   1.01420652167590E-58
 46   19     8.35574402778612E-68   5.43123361806098E-66
 47   19     2.65390330689800E-67   1.75157618255268E-65
 48   19     1.90925748479175E-72   1.27920251481048E-70
 49   19     5.37979316572034E-76   3.65825935268983E-74
 50   19     1.03565927422483E-77   7.14604899215136E-76
 51   19     1.83943288484034E-82   1.28760301938824E-80
 10   20     6.91249339652729E-39   2.07374801895819E-37
 11   20     3.78753949394056E-40   1.17413724312157E-38
 12   20     1.33285643750949E-31   4.26514060003037E-30
 13   20     1.87993577695266E-28   6.20378806394377E-27
 14   20     2.25874133067716E-20   7.67972052430236E-19
 15   20     4.14470481333183E-18   1.45064668466614E-16
 16   20     8.06986925016992E-14   2.90515293006117E-12
 17   20     8.56408390942944E-10   3.16871104648889E-08
 18   20     2.51056855831623E-08   9.54016052160168E-07
 19   20     3.50803068810675E-08   1.36813196836163E-06
 20   20     1.21471980328579E-06   4.85887921314314E-05
 21   20     6.91235595316776E-08   2.83406594079878E-06
 22   20     4.58045100772036E-08   1.92378942324255E-06
 23   20     4.75262690542385E-08   2.04362956933226E-06
 24   20     1.10832253934480E-08   4.87661917311710E-07
 25   20     4.98686890725633E-11   2.24409100826535E-09
 26   20     2.65635118318644E-12   1.22192154426576E-10
 27   20     1.09379858383121E-13   5.14085334400668E-12
 28   20     1.44298555742277E-14   6.92633067562930E-13
 29   20     5.86455850509795E-16   2.87363366749800E-14
 30   20     3.74790187136203E-18   1.87395093568102E-16
 31   20     2.50902051925295E-20   1.27960046481900E-18
 32   20     9.85168182916471E-22   5.12287455116565E-20
 33   20     1.64417413069245E-24   8.71412289267001E-23
 34   20     7.38075591359742E-27   3.98560819334261E-25
 35   20     4.49732281531455E-30   2.47352754842300E-28
 36   20     6.33279034838233E-33   3.54636259509410E-31
 37   20     2.30937381650823E-32   1.31634307540969E-30
 38   20     9.49159851191911E-37   5.50512713691308E-35
 39   20     4.69083267648324E-40   2.76759127912511E-38
 40   20     2.72322680450913E-42   1.63393608270548E-40
 41   20     3.59745726395821E-45   2.19444893101451E-43
 42   20     1.43120293245913E-47   8.87345818124662E-46
 43   20     3.85338842774850E-55   2.42763470948156E-53
 44   20     7.87909743951132E-53   5.04262236128724E-51
 45   20     2.61513900418062E-60   1.69984035271740E-58
 46   20     1.77377995805442E-59   1.17069477231591E-57
 47   20     1.25969095496775E-64   8.43992939828394E-63
 48   20     4.75323748838304E-68   3.23220149210047E-66
 49   20     9.47672980104048E-70   6.53894356271793E-68
 50   20     2.82636171256787E-74   1.97845319879751E-72
 51   20     2.54203914396363E-76   1.80484779221418E-74
 52   20     2.26579830315579E-75   1.63137477827217E-73
 53   20     4.62716129665742E-80   3.37782774655992E-78
 11   21     2.30577245462558E-39   7.37847185480185E-38
 12   21     6.26098177058697E-40   2.06612398429370E-38
 13   21     2.46681748047834E-32   8.38717943362634E-31
 14   21     1.66601283524564E-29   5.83104492335975E-28
 15   21     3.77597971622958E-25   1.35935269784265E-23
 16   21     3.42257076343499E-21   1.26635118247095E-19
 17   21     1.06724544725219E-19   4.05553269955831E-18
 18   21     6.04847482716478E-19   2.35890518259427E-17
 19   21     1.69571456160307E-11   6.78285824641227E-10
 20   21     1.42518999417896E-09   5.84327897613372E-08
 21   21     1.94164883554556E-09   8.15492510929134E-08
 22   21     2.31985124205646E-08   9.97536034084277E-07
 23   21     2.72632356383625E-09   1.19958236808795E-07
 24   21     5.25446984824933E-08   2.36451143171220E-06
 25   21     1.90456947062068E-09   8.76101956485511E-08
 26   21     5.57256941106719E-11   2.61910762320158E-09
 27   21     3.15971088216396E-12   1.51666122343870E-10
 28   21     1.49671256746248E-13   7.33389158056614E-12
 29   21     3.16374866229739E-14   1.58187433114870E-12
 30   21     2.79728445964705E-16   1.42661507441999E-14
 31   21     7.96337047715127E-17   4.14095264811866E-15
 32   21     2.52253737530767E-19   1.33694480891307E-17
 33   21     1.48256105312385E-21   8.00582968686879E-20
 34   21     1.87400661571874E-24   1.03070363864531E-22
 35   21     8.96496350762418E-27   5.02037956426954E-25
 36   21     1.79740251371748E-28   1.02451943281896E-26
 37   21     9.21763251082305E-31   5.34622685627737E-29
 38   21     1.25533355988261E-33   7.40646800330743E-32
 39   21     1.54270386921642E-35   9.25622321529854E-34
 40   21     2.17256812730240E-38   1.32526655765447E-36
 41   21     1.24882992128091E-40   7.74274551194162E-39
 42   21     2.84327900809495E-43   1.79126577509982E-41
 43   21     9.32619394794102E-46   5.96876412668225E-44
 44   21     1.92498978945824E-48   1.25124336314786E-46
 45   21     3.72148285370885E-52   2.45617868344784E-50
 46   21     2.38710552684785E-53   1.59936070298806E-51
 47   21     1.42666063664497E-60   9.70129232918579E-59
 48   21     4.39105526954701E-62   3.02982813598744E-60
 49   21     1.26501475765586E-66   8.85510330359103E-65
 50   21     1.28392369747896E-68   9.11585825210059E-67
 51   21     1.48012878487674E-67   1.06569272511125E-65
 52   21     4.03827656306776E-72   2.94794189103947E-70
 53   21     9.08169048484423E-77   6.72045095878473E-75
 54   21     7.68986277634712E-80   5.76739708226034E-78
 55   21     9.12246847860561E-87   6.93307604374027E-85
 12   22     3.10539343545658E-39   1.05583376805524E-37
 13   22     2.33982836113673E-41   8.18939926397854E-40
 14   22     1.21939492029631E-36   4.38982171306672E-35
 15   22     5.58704314314423E-31   2.06720596296336E-29
 16   22     6.82668386509402E-22   2.59413986873573E-20
 17   22     8.53649824104819E-20   3.32923431400879E-18
 18   22     2.22832457846381E-16   8.91329831385524E-15
 19   22     1.23587014293612E-13   5.06706758603810E-12
 20   22     2.04064081398032E-10   8.57069141871734E-09
 21   22     2.62956225038211E-10   1.13071176766431E-08
 22   22     2.26729747834178E-07   9.97610890470382E-06
 23   22     1.85798050604448E-08   8.36091227720015E-07
 24   22     4.18009520120098E-08   1.92284379255245E-06
 25   22     6.23510560422939E-08   2.93049963398781E-06
 26   22     5.59348940095683E-08   2.68487491245928E-06
 27   22     2.69325981440937E-09   1.31969730906059E-07
 28   22     3.47949374711581E-11   1.73974687355790E-09
 29   22     3.96250081391904E-13   2.02087541509871E-11
 30   22     2.85710063713245E-14   1.48569233130887E-12
